,Width,Page,Left,Top,Height,Text,Font,Size,Font Count,Is_Bullet,Heading,TOC,SScore,TextCount,IsCapital,Preds,Probs
1288,72,22,144,250,9,"been remedied. 
",ArialMT,9,1,0,0,0,0,2,0,0,0.97
1289,372,22,108,233,9,"(g) 
 In addition to the Contractor’s rights under Clause 4.3(h), the Contractor shall be 
",ArialMT,9,1,2,0,1,0,14,0,0,1
1290,254,22,144,221,9,"entitled to make a claim under the Performance Security: 
",ArialMT,9,1,0,0,0,0,9,0,0,1
1291,270,22,144,204,9,"(i) 
 in accordance with the terms of the Performance Security; 
",ArialMT,9,1,2,0,1,0,10,0,0,0.97
1292,252,22,144,186,9,"(ii) 
 when such right is provided under the Subcontract; or 
",ArialMT,9,1,2,0,1,0,10,0,0,1
1293,344,22,144,169,9,"(iii) 
 where the Contractor, acting reasonably, considers that the Subcontractor 
",ArialMT,9,1,2,0,1,0,10,0,0,1
1294,327,22,180,157,9,"has defaulted in the performance of its obligations under the Subcontract, 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1295,327,22,180,146,9,"including where the Contractor reasonably considers that there has been: 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1296,271,22,180,128,9,"(A) 
 a failure by the Subcontractor to extend the validity of the 
",ArialMT,9,1,2,0,1,0,12,0,0,1
1297,308,22,216,117,9,"Performance Security as described in the preceding paragraph or the 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1298,278,22,216,105,9,"Subcontractor fails to increase the amount of the Performance 
",ArialMT,9,1,0,0,0,0,9,0,0,1
1299,307,22,216,94,9,"Security to the amount stated in the Subcontract Particulars, in either 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1300,281,22,216,82,9,"of which events the Contractor may claim the full amount of the 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1301,101,22,216,71,9,"Performance Security; 
",ArialMT,9,1,0,0,0,0,2,0,0,0.96
1302,317,23,180,782,9,"(B) 
 a failure by the Subcontractor to pay the Contractor an amount due, 
",ArialMT,9,1,2,0,1,0,13,0,0,0.97
1303,296,23,216,770,9,"as either agreed by the Subcontractor or determined under Clause 
",ArialMT,9,1,0,0,0,0,10,0,0,0.98
1304,286,23,216,759,9,"3.9 (Determinations), Clause 9.6 (Delay Damages) or Clause 20 
",ArialMT,9,1,2,0,1,0,9,0,0,0.94
1305,286,23,216,747,9,"(Claims and Dispute Resolution), within seven (7) days after this 
",ArialMT,9,1,2,0,1,0,10,0,0,0.93
1306,128,23,216,736,9,"agreement or determination; 
",ArialMT,9,1,0,0,0,0,3,0,0,0.98
1307,323,23,179,718,9,"(C) 
 a failure by the Subcontractor to remedy a default within five (5) days 
",ArialMT,9,1,2,0,1,0,14,0,0,0.99
1308,284,23,216,707,9,"after receiving the Contractor’s notice requiring the default to be 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1309,58,23,216,695,9,"remedied; or 
",ArialMT,9,1,0,0,0,0,2,0,0,0.98
1310,298,23,180,678,9,"(D) 
 circumstances which entitle the Contractor to termination under 
",ArialMT,9,1,2,0,1,0,9,0,0,1
1311,182,23,216,666,9,"Clause 15.2 (Termination by Contractor). 
",ArialMT,9,1,0,0,0,0,5,0,0,0.89
1312,362,23,108,649,9,"(h) 
 If the Performance Security becomes invalid or the Contractor has reasonable 
",ArialMT,9,1,2,0,1,0,12,0,0,1
1313,377,23,144,637,9,"grounds for believing that the Performance Security is about to become invalid, or an 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1314,343,23,144,626,9,"Insolvency Event has or is about to occur in relation to the financial institution 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1315,366,23,144,614,9,"providing the Performance Security, or the long term unsecured credit rating of the 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1316,379,23,144,603,9,"financial institution providing the Performance Security falls below the rating specified 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1317,371,23,144,591,9,"in the Subcontract Particulars, then the Subcontractor shall, within twenty-eight (28) 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1318,360,23,144,580,9,"days of the Contractor’s request, provide alternative Performance Security, to the 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1319,378,23,144,568,9,"Contractor’s satisfaction. If the Subcontractor fails to provide alternative Performance 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1320,364,23,144,557,9,"Security to the Contractor’s satisfaction, the Contractor shall be entitled to make a 
",ArialMT,9,1,0,0,0,0,13,0,0,0.99
1321,228,23,144,545,9,"claim for the full value of the Performance Security. 
",ArialMT,9,1,0,0,0,0,9,0,0,1
1322,369,23,108,528,9,"(i) 
 The Contractor shall return the Performance Security to the Subcontractor within 
",ArialMT,9,1,2,0,1,0,12,0,0,1
1323,367,23,144,516,9,"twenty-three (23) days after issuance of the Performance Certificate or, if a dispute 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1324,370,23,144,505,9,"arises under the Subcontract, after the final determination of the dispute, whichever 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1325,56,23,144,493,9,"occurs later. 
",ArialMT,9,1,0,0,0,0,2,0,0,0.97
1327,385,23,108,458,9,"(a) 
 The Subcontractor shall at all times have a Subcontractor’s Representative and the 
",ArialMT,9,1,2,0,1,0,13,0,0,0.98
1328,377,23,144,447,9,"Subcontractor shall give its Subcontractor’s Representative all authority necessary to 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1329,253,23,144,435,9,"act on the Subcontractor’s behalf under the Subcontract. 
",ArialMT,9,1,0,0,0,0,8,0,0,1
1330,353,23,108,418,9,"(b) 
 Unless the Subcontractor’s Representative is named in the Subcontract, the 
",ArialMT,9,1,2,0,1,0,11,0,0,0.99
1331,361,23,144,406,9,"Subcontractor shall, prior to the Commencement Date, submit to the Contractor’s 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1332,377,23,144,395,9,"Representative for consent the name and particulars of the person the Subcontractor 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1333,356,23,144,383,9,"proposes to appoint as Subcontractor’s Representative. If consent is withheld or 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1334,352,23,144,372,9,"subsequently revoked, or if the appointed person fails to act as Subcontractor’s 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1335,372,23,144,360,9,"Representative, the Subcontractor shall similarly submit the name and particulars of 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1336,206,23,144,349,9,"another suitable person for such appointment. 
",ArialMT,9,1,0,0,0,0,6,0,0,1
1337,338,23,108,331,9,"(c) 
 The Subcontractor shall not, without the prior consent of the Contractor’s 
",ArialMT,9,1,2,0,1,0,12,0,0,1
1338,361,23,144,320,9,"Representative, revoke the appointment of the Subcontractor’s Representative or 
",ArialMT,9,1,0,0,0,0,9,0,0,0.96
1339,104,23,144,308,9,"appoint a replacement. 
",ArialMT,9,1,0,0,0,0,3,0,0,0.96
1340,387,23,108,291,9,"(d) 
 The whole time of the Subcontractor’s Representative shall be given to directing the 
",ArialMT,9,1,2,0,1,0,14,0,0,1
1341,315,23,144,279,9,"Subcontractor’s performance of the Subcontract. If the Subcontractor’s 
",ArialMT,9,1,0,0,0,0,8,0,0,1
1342,361,23,144,268,9,"Representative is to be temporarily absent from the Site during the execution and 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1343,361,23,144,256,9,"completion of the Works for a period in excess of twenty (20) consecutive days, a 
",ArialMT,9,1,0,0,0,0,15,0,0,0.99
1344,334,23,144,245,9,"suitable replacement person shall be appointed, subject to the Contractor’s 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1345,375,23,144,233,9,"Representative’s prior consent, and the Contractor’s Representative shall be notified 
",ArialMT,9,1,0,0,0,0,10,0,0,0.92
1346,55,23,144,222,9,"accordingly. 
",ArialMT,9,1,0,0,0,0,1,0,0,1
1347,377,23,108,204,9,"(e) 
 The Subcontractor’s Representative shall, on behalf of the Subcontractor, receive 
",ArialMT,9,1,2,0,1,0,11,0,0,1
1348,350,23,144,193,9,"instructions under Clause 3.7 (Instructions of the Contractor’s Representative). 
",ArialMT,9,1,0,0,0,0,9,0,0,0.98
1349,356,23,108,175,9,"(f) 
 The Subcontractor’s Representative may delegate any powers, functions and 
",ArialMT,9,1,2,0,1,0,10,0,0,1
1350,369,23,144,164,9,"authority to any competent person, and may at any time revoke the delegation. Any 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1351,381,23,144,152,9,"delegation or revocation shall not take effect until the Contractor’s Representative has 
",ArialMT,9,1,0,0,0,0,12,0,0,0.98
1352,352,23,144,141,9,"received prior notice signed by the Subcontractor’s Representative, naming the 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1353,343,23,144,129,9,"person and specifying the powers, functions and authority being delegated or 
",ArialMT,9,1,0,0,0,0,11,0,0,0.99
1354,41,23,144,118,9,"revoked. 
",ArialMT,9,1,0,0,0,0,1,0,0,1
1355,366,23,108,100,9,"(g) 
 The Subcontractor’s Representative and all these persons shall be fluent in the 
",ArialMT,9,1,2,0,1,0,13,0,0,1
1356,327,23,144,89,9,"language for communications defined in Clause 1.4 (Law and Language). 
",ArialMT,9,1,0,0,0,0,10,0,0,0.99
1358,366,24,107,764,9,"(a) 
 The Subcontractor shall, as specified in the Subcontract or as instructed by the 
",ArialMT,9,1,2,0,1,0,14,0,0,1
1359,375,24,144,753,9,"Contractor’s Representative, allow appropriate opportunities for carrying out work to: 
",ArialMT,9,1,0,0,0,0,10,0,0,0.99
1360,216,24,144,735,9,"(i) 
 the Employer and / or Contractor’s Personnel; 
",ArialMT,9,1,2,0,1,0,8,0,0,0.95
1361,151,24,144,718,9,"(ii) 
 any Other Subcontractors; and 
",ArialMT,9,1,2,0,1,0,5,0,0,0.99
1362,272,24,144,700,9,"(iii) 
 the personnel of any legally constituted public Authorities, 
",ArialMT,9,1,2,0,1,0,9,0,0,1
1363,381,24,144,683,9,"who may be employed in the execution on or near the Site of any work not included in 
",ArialMT,9,1,0,0,0,0,18,0,0,0.99
1364,327,24,144,671,9,"the Subcontract and any such instruction shall not constitute a Variation.   
",ArialMT,9,1,0,0,0,0,11,0,0,1
1365,364,24,108,654,9,"(b) 
 Services for these personnel and Other Subcontractors may include the use of 
",ArialMT,9,1,2,0,1,0,13,0,0,0.98
1366,378,24,144,642,9,"Subcontractor’s Equipment, Temporary Works or access arrangements which are the 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1367,155,24,144,631,9,"responsibility of the Subcontractor. 
",ArialMT,9,1,0,0,0,0,4,0,0,0.94
1368,369,24,108,613,9,"(c) 
 If, under the Subcontract, the Contractor is required to give to the Subcontractor 
",ArialMT,9,1,2,0,1,0,14,0,0,1
1369,378,24,144,602,9,"possession of any foundation, structure, plant or means of access in accordance with 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1370,330,24,144,590,9,"Design Documents, the Subcontractor shall submit such documents to the 
",ArialMT,9,1,0,0,0,0,10,0,0,0.99
1371,345,24,144,579,9,"Contractor’s Representative in the time and manner stated in the Contractor’s 
",ArialMT,9,1,0,0,0,0,11,0,0,0.99
1372,67,24,144,567,9,"Requirements. 
",ArialMT,9,1,0,0,0,0,1,0,0,0.98
1373,376,24,107,550,9,"(d) 
 The Subcontractor shall co-operate fully and pro-actively with, and co-ordinate its 
",ArialMT,9,1,2,0,1,0,12,0,0,0.97
1374,377,24,144,538,9,"activities with Other Subcontractors so as not to obstruct, disrupt or delay work being 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1375,191,24,144,527,9,"performed by such Other Subcontractors.   
",ArialMT,9,1,0,0,0,0,5,0,0,0.96
1376,365,24,108,509,9,"(e) 
 The Subcontractor acknowledges that the Contractor and / or the Employer (or 
",ArialMT,9,1,2,0,1,0,13,0,0,0.99
1377,350,24,144,498,9,"Affiliates of the Contractor) will engage those specific (and categories of) Other 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1378,368,24,144,486,9,"Subcontractors identified in the Subcontract Particulars, or subsequently notified to 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1379,381,24,143,475,9,"the Subcontractor, who may be employed in the execution and completion of works or 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1380,354,24,143,463,9,"services on or near the Site and that the Subcontractor reasonably foresees the 
",ArialMT,9,1,0,0,0,0,13,0,0,0.99
1381,299,24,144,452,9,"activities and/or works and services of those Other Subcontractors. 
",ArialMT,9,1,0,0,0,0,9,0,0,0.99
1382,369,24,108,434,9,"(f) 
 The Subcontractor shall attend the Contractor’s project meetings at the time and 
",ArialMT,9,1,2,0,1,0,13,0,0,0.99
1383,331,24,144,423,9,"venues specified by the Contractor’s Representative, the Contractor or the 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1384,314,24,144,411,9,"Contractor’s project manager.  The Subcontractor shall ensure that the 
",ArialMT,9,1,0,0,0,0,9,0,0,1
1385,361,24,144,400,9,"Subcontractor’s Representative attends all such meetings, together with all of the 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1386,363,24,144,388,9,"Subcontractor’s other personnel and/or the Sub-Subcontractor’s personnel as are 
",ArialMT,9,1,0,0,0,0,9,0,0,1
1387,322,24,144,377,9,"necessary to resolve the issues raised in any agenda for such meetings. 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1388,387,24,108,359,9,"(g) 
 The Subcontractor shall not be entitled to any extension of the Time for Completion, 
",ArialMT,9,1,2,0,1,0,15,0,0,1
1389,361,24,144,348,9,"or any modification to the programme under Clause 9.3 (Programme), and/or any 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1390,378,24,144,336,9,"adjustment to the Subcontract Price or any additional Costs arising from or in relation 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1391,326,24,144,325,9,"to complying with its obligations under this Clause 4.5 (Co-operation) and 
",ArialMT,9,1,0,0,0,0,11,0,0,0.97
1392,374,24,143,313,9,"acknowledges and agrees that it has factored in such obligations into its programme 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1393,120,24,143,302,9,"and the Subcontract Price. 
",ArialMT,9,1,0,0,0,0,4,0,0,0.91
1395,370,24,107,267,9,"(a) 
 The Subcontractor shall set out the Works in relation to original points, lines and 
",ArialMT,9,1,2,0,1,0,15,0,0,1
1396,343,24,144,255,9,"levels of reference specified in the Subcontract or notified by the Contractor’s 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1397,374,24,143,244,9,"Representative. The Subcontractor shall be responsible for the correct positioning of 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1398,370,24,143,232,9,"all parts of the Works, and shall rectify any error in the positions, levels, dimensions 
",ArialMT,9,1,0,0,0,0,15,0,0,1
1399,122,24,143,221,9,"or alignment of the Works.  
",ArialMT,9,1,0,0,0,0,5,0,0,0.99
1400,382,24,107,203,9,"(b) 
 The Subcontractor shall verify the accuracy of all original points, lines and levels of 
",ArialMT,9,1,2,0,1,0,15,0,0,1
1401,345,24,144,192,9,"reference, whether specified in the Subcontract or notified by the Contractor’s 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1402,170,24,144,180,9,"Representative, before they are used. 
",ArialMT,9,1,0,0,0,0,5,0,0,0.98
1403,386,24,107,163,9,"(c) 
 The Subcontractor shall not be entitled to any extension of the Time for Completion, 
",ArialMT,9,1,2,0,1,0,15,0,0,1
1404,361,24,144,151,9,"or any modification to the programme under Clause 9.3 (Programme), and/or any 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1405,347,24,143,140,9,"adjustment to the Subcontract Price or any additional Costs arising out of or in 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1406,377,24,143,128,9,"connection with any errors in original points, lines and levels of reference specified in 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1407,281,24,143,117,9,"the Subcontract or notified by the Contractor’s Representative.  
",ArialMT,9,1,0,0,0,0,8,0,0,0.97
1409,396,24,107,82,9,"The Subcontractor shall develop a safety plan in accordance with Clause 7.6 (Health and 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1410,80,24,107,70,10,"Safety) and shall: 
",ArialMT,9,1,0,0,0,0,3,0,0,0.84
1411,390,25,108,782,9,"(a) 
 ensure compliance with all applicable safety Laws and regulations and requirements 
",ArialMT,9,1,2,0,1,0,12,0,0,0.95
1412,226,25,144,770,9,"of any Authorities or instructions by the Contractor; 
",ArialMT,9,1,0,0,0,0,8,0,0,0.98
1413,394,25,108,753,9,"(b) 
 take care for the safety of all persons engaged by the Subcontractor for the Works on 
",ArialMT,9,1,2,0,1,0,17,0,0,0.99
1414,39,25,144,741,9,"the Site; 
",ArialMT,9,1,0,0,0,0,2,0,0,0.97
1415,381,25,108,724,9,"(c) 
 keep the Site and Works clear of unnecessary obstruction so as to avoid danger to 
",ArialMT,9,1,2,0,1,0,16,0,0,0.99
1416,68,25,144,712,9,"these persons; 
",ArialMT,9,1,0,0,0,0,2,0,0,0.97
1417,381,25,108,695,9,"(d) 
 provide fencing, lighting warning signs, guarding and watching of the Works where 
",ArialMT,9,1,2,0,1,0,13,0,0,0.97
1418,357,25,144,683,9,"necessary or required by the Contractor’s Representative or any Authorities until 
",ArialMT,9,1,0,0,0,0,11,0,0,0.99
1419,343,25,144,672,9,"completion and Taking Over under Clause 11 (Contractor’s Taking Over); and 
",ArialMT,9,1,0,0,0,0,11,0,0,0.99
1420,385,25,108,654,9,"(e) 
 provide any Temporary Works (including roadways, footways, guards dewatering (if 
",ArialMT,9,1,2,0,1,0,11,0,0,0.99
1421,376,25,144,643,9,"any) and fences) which may be necessary, because of the execution and completion 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1422,376,25,144,631,9,"of the Works, for the use and protection of the public and of owners and occupiers of 
",ArialMT,9,1,0,0,0,0,17,0,0,0.99
1423,65,25,144,620,9,"adjacent land. 
",ArialMT,9,1,0,0,0,0,2,0,0,0.99
1425,353,25,108,585,9,"(a) 
 The Subcontractor shall institute a quality assurance system to demonstrate 
",ArialMT,9,1,2,0,1,0,11,0,0,0.99
1426,342,25,144,573,9,"compliance with the requirements of the Subcontract.  The system shall be in 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1427,363,25,144,562,9,"accordance with the details stated in the Subcontract and be subject to the review 
",ArialMT,9,1,0,0,0,0,14,0,0,1
1428,380,25,144,550,9,"and approval of the Contractor’s Representative.  The Subcontractor, Subcontractor’s 
",ArialMT,9,1,0,0,0,0,9,0,0,1
1429,364,25,144,539,9,"Personnel and Sub-Subcontractors shall adhere to the quality assurance system.  
",ArialMT,9,1,0,0,0,0,10,0,0,0.99
1430,370,25,144,527,9,"The Contractor’s Representative shall be entitled to audit any aspect of the system. 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1431,360,25,108,510,9,"(b) 
 Details of all procedures and compliance documents shall be submitted to the 
",ArialMT,9,1,2,0,1,0,13,0,0,1
1432,331,25,144,498,9,"Contractor’s Representative for information before each execution stage is 
",ArialMT,9,1,0,0,0,0,9,0,0,1
1433,373,25,144,487,9,"commenced. When any document of a technical nature is issued to the Contractor’s 
",ArialMT,9,1,0,0,0,0,13,0,0,0.99
1434,381,25,144,475,9,"Representative, evidence of the prior approval by the Subcontractor shall be apparent 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1435,103,25,144,464,9,"on the document itself. 
",ArialMT,9,1,0,0,0,0,4,0,0,0.99
1436,386,25,108,446,9,"(c) 
 Compliance with the quality assurance system shall not relieve the Subcontractor of 
",ArialMT,9,1,2,0,1,0,13,0,0,1
1437,309,25,144,435,9,"any of its duties, obligations or responsibilities under the Subcontract. 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1439,190,25,108,400,9,"(a) 
 The Subcontractor shall be deemed to: 
",ArialMT,9,1,2,0,1,0,7,0,0,0.99
1440,324,25,144,382,9,"(i) 
 have satisfied itself as to the correctness and sufficiency of the Design 
",ArialMT,9,1,2,0,1,0,13,0,0,0.98
1441,296,25,180,371,9,"Documents, its obligations under the Subcontract, the Contractor’s 
",ArialMT,9,1,0,0,0,0,8,0,0,0.99
1442,316,25,180,359,9,"Requirements, the Subcontract Price and the Time for Completion; and 
",ArialMT,9,1,0,0,0,0,10,0,0,0.97
1443,352,25,144,342,9,"(ii) 
 have based the Subcontract Price and the Time for Completion on the, data, 
",ArialMT,9,1,2,0,1,0,14,0,0,1
1444,308,25,180,330,9,"interpretations, necessary information, inspections and examinations. 
",ArialMT,9,1,0,0,0,0,6,0,0,0.99
1445,346,25,108,313,9,"(b) 
 The Subcontract Price covers all the Subcontractor’s obligations under the 
",ArialMT,9,1,2,0,1,0,11,0,0,1
1446,372,25,144,301,9,"Subcontract and all things necessary for the proper execution and completion of the 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1447,342,25,144,290,9,"Works in accordance with the Subcontract and the remedying of any defects. 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1449,380,25,108,255,9,"(a) 
 The Subcontractor is deemed to have made all investigations and inspections and 
",ArialMT,9,1,2,0,1,0,13,0,0,1
1450,374,25,144,243,9,"obtained all necessary information to assess the risks, difficulties, contingencies and 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1451,364,25,144,232,9,"other circumstances that may influence or affect the Works, including the cost and 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1452,358,25,144,220,9,"time for completing the Works in accordance with the Subcontract except for any 
",ArialMT,9,1,0,0,0,0,13,0,0,0.98
1453,154,25,144,209,9,"investigation of the soil of the Site. 
",ArialMT,9,1,0,0,0,0,7,0,0,0.99
1454,384,25,108,191,9,"(b) 
 Except as otherwise provided under Clause 9.4 (Extension of Time for Completion) 
",ArialMT,9,1,2,0,1,0,13,0,0,0.99
1455,376,25,144,180,9,"and Clause 14.2 (Adjustments to the Subcontract Price), the Subcontractor assumes 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1456,346,25,144,168,9,"all risks related to, and waives any right to claim an adjustment in the Time for 
",ArialMT,9,1,0,0,0,0,16,0,0,1
1457,374,25,144,157,9,"Completion, the programme under Clause 9.3 (Programme), and/or the Subcontract 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1458,373,25,144,145,9,"Price and/or any additional Costs on account of, any risks, difficulties, contingencies 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1459,194,25,144,134,9,"or other circumstances affecting the Works. 
",ArialMT,9,1,0,0,0,0,6,0,0,1
1461,414,25,108,99,9,"The Subcontractor shall bear all costs and charges for special and/or temporary rights-of-way 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1462,392,25,108,87,9,"which it may require, including those for access to the Site. The Subcontractor shall also 
",ArialMT,9,1,0,0,0,0,15,0,0,1
1463,415,26,108,782,9,"obtain, at its risk and cost, any additional facilities outside the Site which it may require for the 
",ArialMT,9,1,0,0,0,0,18,0,0,1
1464,105,26,108,770,9,"purposes of the Works. 
",ArialMT,9,1,0,0,0,0,4,0,0,0.94
1466,330,26,107,735,9,"(a) 
 The Subcontractor shall not interfere unnecessarily or improperly with:  
",ArialMT,9,1,2,0,1,0,10,0,0,1
1467,157,26,144,718,9,"(i) 
 the convenience of the public, or 
",ArialMT,9,1,2,0,1,0,7,0,0,0.99
1468,353,26,144,700,9,"(ii) 
 the access to and use and occupation of all roads, waterways and footpaths, 
",ArialMT,9,1,2,0,1,0,14,0,0,0.97
1469,340,26,180,689,9,"irrespective of whether they are public or in the possession of the Contractor 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1470,56,26,180,677,9,"or of others. 
",ArialMT,9,1,0,0,0,0,3,0,0,1
1471,397,26,108,660,9,"(b) 
 The Subcontractor shall indemnify and hold the Contractor harmless against and from 
",ArialMT,9,1,2,0,1,0,13,0,0,1
1472,378,26,144,648,9,"all damages, losses and expenses (including legal fees and expenses) resulting from 
",ArialMT,9,1,0,0,0,0,12,0,0,0.99
1473,214,26,144,637,9,"any such unnecessary or improper interference. 
",ArialMT,9,1,0,0,0,0,6,0,0,0.95
1475,380,26,108,602,9,"(a) 
 The Subcontractor shall be deemed to have been satisfied as to the suitability and 
",ArialMT,9,1,2,0,1,0,15,0,0,1
1476,354,26,144,590,9,"availability of access routes to the Site. The Subcontractor shall use reasonable 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1477,358,26,144,579,9,"efforts to prevent any road or bridge from being damaged by the Subcontractor’s 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1478,377,26,144,567,9,"traffic or by the Subcontractor’s Personnel. These efforts shall include the proper use 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1479,346,26,144,556,9,"of appropriate vehicles, vessels and routes and any other steps which may be 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1480,324,26,144,544,9,"reasonably necessary to prevent damage by Subcontractor’s traffic or by 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1481,123,26,144,533,9,"Subcontractor’s Personnel. 
",ArialMT,9,1,0,0,0,0,2,0,0,0.88
1482,225,26,108,515,9,"(b) 
 Except as otherwise stated in this Subcontract: 
",ArialMT,9,1,2,0,1,0,8,0,0,1
1483,328,26,144,498,9,"(i) 
 the Subcontractor shall (as between the Parties) be responsible for any 
",ArialMT,9,1,2,0,1,0,12,0,0,1
1484,314,26,180,486,9,"maintenance which may be required for its use of access routes and, if 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1485,328,26,180,475,9,"requested by the Contractor, for the remedying of damages to any road or 
",ArialMT,9,1,0,0,0,0,13,0,0,1
1486,309,26,180,463,9,"bridge caused by the Subcontractor’s traffic or by the Subcontractor’s 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1487,50,26,180,452,9,"Personnel; 
",ArialMT,9,1,0,0,0,0,1,0,0,0.97
1488,325,26,144,434,9,"(ii) 
 the Subcontractor shall provide all necessary signs or directions along 
",ArialMT,9,1,2,0,1,0,11,0,0,1
1489,336,26,180,423,9,"access routes, and shall obtain any permission which may be required from 
",ArialMT,9,1,0,0,0,0,12,0,0,1
1490,288,26,180,411,9,"the relevant Authorities for its use of routes, signs and directions; 
",ArialMT,9,1,0,0,0,0,11,0,0,1
1491,351,26,144,394,9,"(iii) 
 the Contractor shall not be responsible for any claims which may arise from 
",ArialMT,9,1,2,0,1,0,14,0,0,1
1492,185,26,180,382,9,"the use or otherwise of any access route; 
",ArialMT,9,1,0,0,0,0,8,0,0,0.99
1493,346,26,144,365,9,"(iv) 
 the Contractor does not guarantee the suitability or availability of particular 
",ArialMT,9,1,2,0,1,0,12,0,0,1
1494,86,26,180,353,9,"access routes; and 
",ArialMT,9,1,0,0,0,0,3,0,0,0.94
1495,338,26,144,336,9,"(v) 
 Costs due to non-suitability or non-availability, for the use required by the 
",ArialMT,9,1,2,0,1,0,13,0,0,0.99
1496,305,26,180,324,9,"Subcontractor, of access routes shall be borne by the Subcontractor. 
",ArialMT,9,1,0,0,0,0,10,0,0,1
1498,196,26,108,289,9,"Unless otherwise stated in this Subcontract: 
",ArialMT,9,1,0,0,0,0,6,0,0,1
1499,376,26,108,272,9,"(a) 
 the Subcontractor shall give the Contractor’s Representative not less than twenty-
",ArialMT,9,1,2,0,1,0,12,0,0,1
1500,355,26,144,260,9,"three (23) days’ notice of the date on which any Goods and/or equipment will be 
",ArialMT,9,1,0,0,0,0,15,0,0,0.99
1501,93,26,144,249,9,"delivered to the Site; 
",ArialMT,9,1,0,0,0,0,4,0,0,0.98
1502,383,26,108,231,9,"(b) 
 the Subcontractor shall be responsible for packing, loading, transporting, receiving, 
",ArialMT,9,1,2,0,1,0,11,0,0,1
1503,374,26,144,220,9,"unloading, storing and protecting all Goods, all equipment  and other things required 
",ArialMT,9,1,0,0,0,0,12,0,0,0.99
1504,84,26,144,208,9,"for the Works; and 
",ArialMT,9,1,0,0,0,0,4,0,0,0.94
1505,392,26,108,191,9,"(c) 
 the Subcontractor shall indemnify and hold the Contractor harmless against and from 
",ArialMT,9,1,2,0,1,0,13,0,0,1
